JKT,JKM,GRS,LT,LB,Category
3,2,1,72,120,0
3,2,4,370,240,0
5,4,0,400,260,2
2,3,1,184,300,2
3,2,5,346,220,2
2,2,1,72,65,0
3,1,2,122,70,0
3,2,1,120,110,1
4,2,0,110,150,1
4,3,0,90,180,1
2,1,0,74,70,0
2,2,1,139,105,1
2,2,1,137,160,1
3,3,3,136,200,1
2,2,1,202,400,2
5,3,1,404,300,2
4,3,2,168,130,1
4,3,0,111,200,1
1,2,0,72,65,0
4,2,0,61,90,1
4,3,1,41,68,0
4,2,0,348,200,1
4,3,0,280,330,2
4,3,4,202,300,2
3,2,0,250,200,2
3,2,0,125,115,0
4,3,0,202,300,2
4,2,2,170,210,1
4,2,0,404,300,2
4,1,0,84,120,0
2,2,1,39,52,0
4,2,2,104,125,1
2,2,0,177,162,1
4,3,2,84,120,0
4,4,1,306,400,2
4,2,1,145,150,1
2,2,0,135,200,1
3,2,1,147,132,1
3,3,2,122,150,1
4,3,1,75,140,1
4,3,1,251,160,1
3,2,0,65,225,0
3,1,2,140,120,1
5,4,2,239,400,2
2,1,0,76,60,0
4,3,2,134,200,1
5,2,3,311,264,2
3,1,1,177,120,1
6,3,2,328,400,2
2,1,0,50,71,0
3,2,1,235,175,1
2,1,1,118,100,1
2,2,0,101,160,0
4,3,1,96,192,1
2,2,0,101,160,0
2,1,0,87,60,0
3,2,1,234,137,1
3,3,0,122,150,1
4,3,1,200,350,2
3,1,0,90,110,1
4,3,0,91,200,1
2,1,0,97,153,1
3,2,0,129,100,1
5,3,2,106,240,1
3,2,0,97,140,1
5,3,0,106,240,1
4,3,2,157,145,1
2,1,1,60,36,0
3,2,1,75,140,1
4,2,1,97,140,1
2,1,0,181,68,1
1,1,0,70,70,0
3,2,1,180,150,1
3,2,1,221,250,1
3,1,0,91,80,1
3,2,0,75,140,1
3,3,1,127,250,2
4,2,0,82,100,0
2,2,1,94,120,1
4,3,1,84,200,0
3,2,1,75,140,1
4,4,0,131,200,1
4,3,1,121,200,1
3,2,1,421,165,2
4,3,2,121,245,2
3,3,0,127,260,2
3,2,0,106,150,1
2,2,1,94,120,0
3,2,0,138,120,1
4,2,1,150,124,1
2,3,2,214,250,2
3,3,5,254,324,1
2,1,0,107,99,0
2,1,0,107,99,0
4,4,0,91,167,1
5,2,0,311,265,2
3,1,0,313,400,1
3,2,1,130,110,1
4,2,0,128,100,0
2,1,0,55,70,0
6,5,2,120,250,2
2,1,0,110,90,1
4,3,0,212,238,1
3,1,1,122,110,0
4,3,4,217,200,2
3,2,0,311,264,2
5,5,1,114,200,1
2,2,1,101,160,0
3,2,0,210,200,1
4,3,1,306,400,2
1,1,0,44,88,0
6,2,0,310,250,2
3,2,0,55,105,0
3,1,0,75,150,1
4,4,2,297,297,2
2,1,0,107,99,0
2,2,1,101,160,1
3,3,1,160,280,1
5,2,2,311,265,2
5,4,2,297,500,2
4,4,1,122,220,1
2,2,1,178,300,2
5,1,0,103,80,0
4,2,0,112,112,0
3,2,0,144,160,1
4,3,0,212,235,1
5,2,2,328,339,2
3,2,2,129,110,1
3,2,1,75,200,1
3,3,2,85,120,0
3,1,0,157,109,0
4,4,1,306,450,2
3,3,0,200,150,1
4,2,0,112,100,0
4,2,0,66,120,0
4,4,2,180,300,2
2,1,1,120,80,0
2,1,0,79,80,0
2,2,0,97,80,0
5,3,1,106,240,1
4,2,1,59,200,1
3,2,1,100,140,1
3,2,1,108,175,1
3,2,0,83,140,1
2,1,1,72,45,0
6,3,0,42,120,0
4,4,2,255,500,1
3,3,2,133,180,1
7,4,0,105,200,0
5,5,0,240,300,2
2,2,1,109,205,2
3,2,1,169,270,1
4,3,2,298,300,2
4,5,2,96,266,1
4,1,0,50,85,0
3,2,0,130,110,1
3,2,2,233,120,1
4,3,0,84,200,1
3,2,0,65,195,0
5,5,0,122,220,1
3,3,1,127,250,1
3,1,0,75,75,0
4,4,0,170,400,2
3,1,0,118,160,1
3,2,1,75,140,1
3,1,0,65,65,1
5,3,1,106,204,1
5,2,1,538,520,2
3,2,0,100,90,0
3,2,0,160,280,1
3,2,2,249,300,1
6,5,1,142,284,1
3,1,0,150,130,1
5,2,2,102,240,1
3,2,1,142,120,1
6,5,0,154,90,0
3,1,1,144,120,1
3,1,0,65,65,1
3,2,1,75,150,1
3,2,0,150,200,2
2,2,1,63,120,1
3,1,0,90,80,0
4,4,1,86,125,1
5,4,1,200,350,2
2,2,0,70,140,0
5,2,0,242,325,2
2,2,0,96,120,1
6,3,1,449,150,2
4,4,0,108,330,1
3,2,0,110,220,1
4,4,1,86,130,1
2,2,0,105,130,0
3,3,1,250,225,2
3,3,1,221,250,1
4,3,1,320,320,1
4,3,0,84,200,1
4,2,1,210,160,1
4,4,1,162,122,0
5,2,0,78,156,0
3,3,2,85,120,1
3,2,1,54,200,1
1,1,0,130,100,1
3,2,0,130,240,1
3,3,4,127,250,2
4,3,1,85,200,0
3,2,1,97,140,1
3,3,0,133,180,1
1,1,0,26,52,0
3,2,1,54,180,1
4,3,1,298,300,2
4,3,0,134,200,1
2,1,0,118,100,1
3,2,0,75,140,1
3,2,0,98,90,0
3,1,0,98,90,0
2,2,0,94,120,0
4,2,2,120,150,1
2,1,0,121,110,1
4,3,1,75,140,1
4,3,0,75,140,1
7,2,2,197,430,2
3,2,1,75,140,1
3,3,1,109,250,2
3,1,0,157,109,0
3,2,1,221,250,1
2,1,0,35,63,0
4,3,0,200,350,2
2,1,0,60,50,0
4,3,0,330,150,2
3,2,1,144,70,1
4,3,0,75,150,1
3,2,1,106,180,1
2,1,1,60,36,0
6,3,0,127,173,1
3,3,1,65,100,0
4,2,0,120,150,1
4,3,0,84,200,0
4,3,1,75,140,1
4,3,1,298,300,2
3,2,0,46,56,0
3,2,1,75,140,1
4,3,1,121,150,1
2,1,1,102,51,1
3,3,2,122,160,1
4,3,1,121,78,1
7,7,4,399,300,2
4,3,2,109,202,1
3,2,0,91,90,1
5,2,2,399,300,2
4,4,1,330,200,1
2,1,1,130,80,1
4,2,1,136,100,1
4,2,2,120,200,1
6,4,1,200,300,2
2,2,2,150,120,1
2,1,1,104,95,0
4,3,3,256,237,2
3,2,1,168,200,1
3,2,0,100,170,1
3,3,1,90,88,1
3,2,2,115,98,1
5,3,3,174,240,1
4,3,1,215,140,2
3,2,1,116,110,1
3,3,1,195,300,2
3,2,1,96,155,1
4,3,1,260,160,1
3,2,2,86,84,1
2,1,1,72,50,0
2,2,1,150,120,1
4,4,2,135,225,1
3,2,1,104,90,0
5,4,1,135,200,1
2,2,1,112,100,1
3,2,1,112,100,1
5,4,2,308,150,1
4,3,1,230,200,1
3,2,1,70,100,0
3,3,2,90,100,1
3,2,1,150,120,1
2,1,1,72,55,0
5,4,1,133,200,1
5,2,1,90,150,1
4,4,3,305,281,2
3,2,2,86,83,1
5,3,2,280,320,1
3,2,1,93,90,1
3,2,2,86,83,1
5,3,3,173,240,1
6,3,7,400,450,2
4,3,2,476,250,1
3,1,1,60,65,0
3,2,1,104,90,0
3,1,1,72,55,0
3,2,1,140,150,1
4,3,2,126,144,1
3,2,1,144,275,1
4,3,0,151,120,1
5,2,1,120,150,0
5,3,1,237,160,1
4,3,1,230,197,1
3,2,1,112,100,1
2,1,1,60,55,0
4,3,1,360,192,2
3,3,1,96,144,1
4,3,2,140,100,0
4,2,1,72,180,1
4,3,2,476,250,1
3,2,1,145,100,1
3,2,2,90,100,0
3,3,2,80,100,1
3,3,1,90,88,1
3,2,1,128,100,1
5,3,2,111,152,1
5,2,2,187,100,1
2,1,1,96,45,1
4,2,0,260,195,2
2,2,1,97,68,0
4,3,1,121,78,1
3,2,0,86,84,1
5,2,1,140,148,1
3,2,0,135,200,1
2,1,1,95,45,0
3,2,1,144,120,1
4,2,2,118,150,1
4,4,1,160,230,1
3,3,1,96,144,1
3,1,1,198,60,1
4,4,2,120,130,1
3,2,3,256,212,2
4,4,0,157,152,2
3,2,1,112,112,1
2,1,0,72,43,0
3,3,2,90,88,1
2,1,1,60,40,0
3,3,0,96,144,1
5,5,2,308,100,1
3,1,1,168,120,1
5,5,1,394,394,2
2,2,2,180,120,1
4,3,1,121,120,1
4,3,2,156,240,1
4,3,3,550,400,2
6,3,4,400,450,1
1,1,0,170,130,1
2,1,0,72,121,0
3,3,1,90,100,1
2,1,1,66,40,0
5,4,1,239,250,2
3,2,1,86,83,1
3,3,5,305,281,2
3,1,1,96,45,0
3,3,1,126,160,1
4,2,1,115,220,1
2,2,1,81,51,0
4,3,2,476,250,1
3,3,2,139,98,1
3,1,0,80,75,0
4,3,1,102,100,0
3,3,0,139,98,1
3,4,0,126,180,1
3,3,1,233,200,1
4,2,1,96,75,0
3,1,1,162,111,1
4,2,0,151,198,1
2,1,0,136,50,1
3,2,1,96,114,1
3,3,0,122,160,1
3,1,1,120,80,0
2,2,0,120,270,0
7,6,0,239,314,2
2,1,1,102,65,0
3,2,2,171,239,1
3,3,1,70,105,1
3,3,2,216,120,2
5,3,2,180,360,2
4,3,1,160,160,1
4,2,1,151,198,1
3,2,1,60,90,0
4,3,1,135,225,1
3,2,1,112,100,1
2,1,2,90,50,0
3,2,1,100,100,1
4,2,1,70,100,0
3,2,1,105,110,1
4,3,1,135,225,1
5,3,1,239,250,2
3,2,1,104,90,0
2,2,2,68,50,0
4,4,1,160,245,1
6,4,1,310,265,2
4,2,0,186,200,2
4,2,1,216,200,1
4,3,1,140,100,1
3,1,1,120,90,0
4,2,0,216,200,1
4,4,1,140,120,1
3,1,1,198,60,1
4,3,2,230,197,1
4,4,2,270,310,1
5,4,4,397,300,1
5,4,0,121,128,1
6,4,1,140,220,1
5,3,3,113,320,1
3,3,0,96,144,1
3,2,0,78,90,1
4,4,2,95,125,1
3,2,1,120,144,1
2,1,0,101,50,1
3,2,1,90,100,0
2,2,2,120,110,1
4,3,1,195,300,2
4,3,2,68,120,1
5,4,0,144,200,1
3,2,0,104,134,1
3,2,0,52,52,0
3,3,0,90,110,1
3,2,0,60,41,0
3,2,0,60,50,0
2,2,0,54,41,0
8,2,0,135,135,0
2,3,0,60,150,1
4,2,2,225,225,1
2,2,1,112,75,0
3,2,1,145,100,1
2,2,1,118,159,1
8,6,0,280,450,2
4,5,3,225,350,1
5,6,1,260,400,2
4,2,2,120,200,1
3,1,1,106,94,0
3,2,0,107,70,0
3,2,1,176,150,1
4,3,1,160,150,1
4,3,1,150,250,1
5,3,0,105,175,1
3,2,0,176,140,1
3,2,1,107,90,0
3,2,0,128,200,1
4,4,0,114,200,1
4,4,1,300,205,1
3,3,1,410,200,1
3,3,2,96,135,1
3,2,1,327,120,1
3,2,2,100,135,1
5,5,3,424,500,2
2,2,1,176,120,1
4,3,2,120,110,1
3,2,1,99,70,0
3,3,0,117,110,0
4,3,2,120,150,0
3,3,2,300,108,1
4,4,2,114,200,1
4,3,0,144,180,1
4,5,3,311,420,2
3,2,2,128,200,1
3,2,1,120,170,1
3,2,1,60,100,0
3,3,2,146,115,1
2,1,1,92,92,0
3,3,1,96,135,1
3,2,1,93,70,0
3,2,1,98,65,0
4,4,2,220,180,1
4,5,2,359,300,2
3,3,1,120,118,1
4,2,1,200,150,1
2,2,1,60,70,0
2,2,1,60,60,0
2,1,1,93,92,0
3,2,2,355,240,1
3,2,1,100,155,1
3,3,1,200,200,1
3,2,2,327,120,1
3,3,2,122,160,1
5,4,2,120,130,1
3,3,0,100,133,1
2,1,1,180,120,1
4,3,2,180,124,1
3,2,1,115,120,1
2,1,1,100,50,0
3,2,1,176,140,1
2,2,2,143,90,1
4,3,1,118,150,0
3,2,1,96,65,0
3,2,2,327,120,1
3,2,2,110,100,1
6,4,2,240,200,1
3,2,1,152,125,1
6,3,2,146,150,1
3,2,1,117,120,0
2,2,2,100,90,0
3,2,1,327,150,1
4,2,1,120,200,1
7,4,1,144,250,1
4,4,1,122,185,1
2,1,0,64,40,0
4,3,1,136,160,1
3,2,1,120,120,1
5,4,1,130,170,1
3,3,2,95,135,1
3,3,0,185,175,1
3,2,1,103,75,0
3,2,1,96,135,1
3,3,1,186,245,1
4,2,1,82,85,0
3,2,2,150,120,1
3,2,1,111,110,1
3,2,1,176,154,1
3,2,1,353,160,1
3,1,1,94,60,0
3,1,1,230,120,1
1,1,1,126,90,1
4,2,0,353,160,1
5,5,3,424,280,2
4,2,2,82,85,0
2,1,2,90,50,0
3,2,1,147,220,1
3,2,1,118,150,0
2,1,1,176,140,1
3,2,2,103,75,0
3,2,1,136,120,1
2,2,1,105,70,0
5,4,1,176,250,1
3,2,0,294,100,1
6,4,1,300,200,2
2,2,1,84,70,1
3,3,3,280,300,2
2,1,1,88,60,0
3,2,1,101,70,0
4,2,0,160,140,0
5,3,1,180,180,1
3,2,3,300,200,1
3,3,2,85,120,1
2,1,1,90,50,0
3,2,1,137,105,1
3,2,1,176,150,1
3,1,1,104,115,0
3,2,2,480,200,2
3,3,1,100,105,1
2,2,1,100,70,0
3,3,0,70,115,1
5,3,1,150,150,1
2,2,1,94,60,0
2,1,0,163,55,0
3,2,1,137,105,1
4,2,1,100,120,0
3,2,0,130,110,1
3,2,0,150,95,1
2,1,1,107,50,0
6,3,0,150,150,1
4,3,2,140,115,1
3,3,1,120,150,1
2,2,1,128,120,0
3,2,2,150,95,1
4,3,1,100,120,0
2,2,0,90,54,0
4,3,2,283,115,1
2,1,1,90,38,0
4,2,1,170,72,1
2,1,1,98,45,0
2,1,1,98,54,0
4,2,1,66,100,0
3,2,1,116,80,0
3,2,1,180,120,1
2,1,1,90,36,0
2,1,2,119,63,1
3,3,2,132,164,1
3,2,1,155,150,1
4,3,0,120,110,1
5,2,0,110,90,0
3,2,0,230,250,1
4,2,2,306,250,1
2,1,1,207,54,1
2,2,1,98,50,0
2,1,1,75,45,0
3,2,2,64,60,0
3,1,2,64,60,0
2,2,1,131,120,0
6,4,0,477,371,2
5,4,1,133,170,1
5,3,1,112,175,1
3,2,1,139,104,1
5,3,0,300,225,1
4,2,1,122,130,1
5,4,0,176,150,1
2,1,0,72,40,0
2,1,0,69,50,0
4,2,2,353,160,1
3,2,1,90,70,1
3,2,1,220,150,1
2,2,1,220,150,1
4,2,1,102,150,1
3,3,2,200,150,1
3,3,2,70,115,1
4,3,2,200,160,1
4,3,2,114,400,1
3,3,0,200,200,1
3,2,1,220,180,1
2,1,1,89,80,0
2,1,0,84,48,0
4,3,1,133,170,1
3,2,3,147,220,1
7,2,1,625,320,1
1,2,2,68,50,0
4,2,1,144,120,0
4,3,1,163,200,1
2,1,2,90,80,0
5,3,1,160,175,1
2,3,1,98,136,1
3,2,8,327,170,1
2,1,1,98,60,0
5,2,2,187,180,1
3,2,1,111,110,1
3,3,1,100,98,1
2,1,1,115,40,0
3,3,2,300,200,2
4,3,2,120,110,1
5,3,0,178,220,1
3,2,0,90,70,1
2,1,1,84,80,0
2,1,1,100,50,0
4,2,2,370,160,1
4,5,1,424,500,2
6,3,1,124,200,1
3,2,0,149,100,1
2,1,1,71,50,0
2,2,1,105,60,0
2,1,1,84,48,0
5,4,1,300,350,2
4,2,1,78,100,1
2,1,1,72,45,0
3,2,1,84,60,0
5,3,2,385,430,2
2,2,2,87,54,0
2,1,1,132,82,0
2,1,1,92,80,1
2,2,1,68,50,0
2,1,1,60,60,0
2,2,2,120,100,0
2,2,1,60,50,0
3,1,1,94,85,0
3,2,2,125,80,0
3,1,1,145,171,1
3,2,1,97,110,0
4,3,2,122,200,1
4,3,1,122,200,1
2,1,1,75,60,0
3,2,1,99,150,1
3,3,1,99,130,1
4,4,1,114,140,1
3,2,1,294,100,1
2,1,0,95,60,1
4,2,0,149,100,1
3,2,0,97,110,0
4,3,1,176,150,1
7,3,3,216,320,1
2,1,1,125,65,1
2,2,1,96,75,0
4,4,1,129,145,1
5,4,0,290,350,1
4,3,1,85,138,1
3,2,1,85,120,1
2,2,1,125,100,1
4,3,1,122,150,1
3,2,1,205,148,1
3,3,3,170,125,1
5,3,0,124,200,1
4,3,0,100,120,0
3,2,1,225,100,1
4,3,0,283,115,1
2,2,2,100,100,0
3,3,0,300,200,2
4,2,1,184,209,1
3,2,0,137,105,1
4,3,1,312,300,2
3,2,0,91,90,0
3,2,0,116,70,0
3,2,0,150,130,0
2,2,1,97,68,0
2,1,1,72,90,0
3,2,2,180,120,1
3,2,0,95,70,0
3,2,1,240,160,1
3,2,1,480,200,2
3,3,0,122,160,1
5,5,0,424,500,2
4,3,0,300,200,1
5,4,0,133,170,1
5,4,2,356,150,1
5,3,3,256,160,1
3,2,2,122,80,1
3,3,1,118,118,1
2,2,1,108,70,0
3,2,1,95,70,0
3,2,2,120,118,1
5,2,2,212,140,1
4,3,1,100,120,0
4,2,1,144,120,0
5,4,1,133,170,1
3,2,1,96,135,1
2,1,1,112,45,0
2,2,1,143,80,1
3,3,1,96,135,1
4,3,1,356,200,1
4,3,1,371,280,2
3,1,1,115,104,0
2,1,1,72,45,0
2,1,1,70,45,0
3,3,2,198,180,1
3,2,2,113,75,0
4,3,1,224,180,1
2,1,1,72,50,0
2,2,1,70,55,0
2,1,1,72,36,0
4,2,1,176,150,1
3,3,1,208,145,1
3,1,1,108,70,0
5,5,3,424,400,2
3,2,2,300,200,1
3,1,0,60,50,0
6,4,6,560,300,2
3,2,2,148,140,1
2,1,1,84,56,0
4,3,6,513,350,2
3,2,1,200,150,1
3,3,1,180,220,2
4,2,1,244,320,2
4,3,1,180,250,2
5,5,0,195,360,2
6,2,1,278,235,2
4,4,1,187,185,1
4,3,1,196,180,1
3,2,2,200,170,1
3,2,0,214,200,1
4,4,1,180,250,2
5,3,2,135,155,1
4,3,1,180,300,2
3,2,1,107,90,0
4,4,1,300,400,2
4,4,0,180,250,2
3,3,0,220,260,2
4,5,1,334,250,2
4,3,1,122,120,1
3,2,1,112,70,1
5,3,1,319,375,1
5,3,1,162,200,1
5,6,0,300,198,1
3,2,2,72,50,0
3,3,3,268,254,1
3,2,0,116,90,1
3,4,1,216,202,2
4,2,1,204,135,1
6,4,1,128,270,1
4,3,2,300,240,2
7,4,0,90,225,0
3,2,1,91,95,0
3,2,0,140,149,1
3,3,1,160,280,1
3,3,0,102,160,1
4,2,1,90,100,1
4,3,2,110,140,1
7,3,1,181,300,1
8,4,0,181,300,1
4,4,0,375,560,2
5,3,0,120,340,1
3,2,3,180,160,1
3,2,1,119,150,1
4,3,2,160,120,1
3,1,1,127,127,0
3,2,0,82,55,0
3,2,0,112,70,1
2,2,1,70,90,0
3,2,0,547,200,2
4,3,2,180,250,1
4,4,1,187,185,1
5,2,0,79,145,1
8,5,1,446,432,2
5,3,0,112,200,0
3,3,0,200,250,2
2,1,1,66,30,0
2,1,1,101,60,0
4,3,2,105,112,1
4,3,0,146,155,1
4,4,1,258,206,1
4,2,0,294,300,1
3,2,1,91,45,0
5,5,0,369,195,1
4,3,0,370,250,2
4,3,1,180,290,2
3,2,0,126,108,1
2,1,1,107,60,0
3,2,1,108,70,0
3,2,0,135,75,1
4,3,1,180,200,2
5,2,1,70,160,1
4,3,2,225,300,2
3,3,2,325,218,2
4,3,1,150,225,1
4,3,1,150,225,1
3,2,2,126,108,1
3,2,1,195,170,1
3,3,2,150,140,1
5,3,0,100,120,0
4,3,1,150,150,1
5,4,1,200,200,2
4,3,10,140,170,1
5,3,0,210,220,1
4,2,1,400,550,2
3,1,1,87,87,0
4,1,1,46,80,0
4,4,0,117,145,1
7,5,3,513,350,2
3,3,2,150,100,1
3,1,1,220,150,2
3,3,2,104,125,1
5,3,1,183,280,2
3,3,0,97,135,0
3,2,1,94,94,0
3,3,1,150,180,1
3,2,1,125,150,1
4,3,0,170,300,1
3,2,0,94,94,0
4,3,0,318,325,1
7,5,0,343,450,2
3,3,2,140,180,1
3,2,1,169,150,1
4,5,0,236,400,2
5,4,3,158,220,1
3,2,1,112,170,1
3,1,1,99,70,0
3,2,1,116,90,1
4,2,0,102,90,0
4,3,1,187,130,1
5,3,1,280,200,1
2,1,0,60,50,0
3,1,0,124,68,0
4,2,0,106,100,0
4,2,0,91,140,1
5,5,0,195,360,1
5,3,1,120,340,1
7,4,1,181,300,1
4,3,1,180,150,1
3,1,1,98,70,0
3,3,1,180,200,2
3,3,0,320,280,1
6,4,3,290,450,1
6,4,1,128,270,2
4,2,1,161,200,1
4,3,0,140,300,2
6,5,1,442,250,2
4,3,1,181,220,1
6,4,1,196,380,1
4,3,3,198,258,2
3,2,1,87,120,0
3,3,1,147,100,0
4,4,2,200,270,2
2,1,1,50,30,0
3,2,0,126,80,1
2,1,0,101,60,0
4,4,3,389,249,1
4,4,2,375,560,2
3,3,1,131,90,1
3,2,1,81,50,0
3,2,1,104,70,0
4,3,0,375,211,2
3,2,0,162,200,1
4,3,2,319,210,2
2,2,1,60,80,0
6,3,1,296,200,2
5,4,2,333,400,2
3,2,1,226,150,1
2,3,0,70,120,0
3,3,0,200,250,2
4,2,1,337,400,2
4,3,1,458,400,2
3,2,0,94,94,0
4,4,0,162,132,2
2,1,0,54,42,0
3,2,0,250,220,1
6,4,2,446,432,2
3,2,0,113,90,1
1,3,2,200,300,1
4,3,1,186,300,2
3,3,0,105,120,1
3,3,1,105,120,1
2,2,0,90,70,0
6,5,4,286,450,1
3,3,0,119,200,1
4,3,0,190,300,2
6,3,1,296,200,2
4,3,0,320,300,2
5,4,1,300,350,2
3,2,2,111,102,1
2,2,0,192,45,1
3,2,0,199,120,1
4,3,1,200,158,2
3,2,1,112,90,1
5,2,0,70,160,1
3,3,2,126,180,1
4,3,1,112,140,1
5,2,2,352,216,2
4,3,3,181,220,1
2,2,1,112,85,1
4,3,2,370,250,2
4,3,2,186,160,1
5,4,2,360,400,2
3,3,0,220,300,1
7,2,2,216,150,1
3,1,1,178,140,0
3,1,3,536,300,2
3,2,2,303,150,2
4,2,1,96,108,1
4,3,0,405,350,2
3,2,0,112,90,1
3,2,0,96,140,1
2,1,2,78,45,0
6,3,2,153,140,1
3,1,2,114,90,1
4,3,4,289,200,2
3,2,1,72,88,0
3,1,1,86,76,1
3,2,3,200,132,1
4,4,0,90,150,0
3,2,2,182,120,1
4,3,1,162,142,1
2,1,0,78,45,0
3,1,1,90,117,0
2,2,1,53,50,1
4,3,0,405,300,2
4,3,1,108,45,1
2,2,2,53,58,1
2,1,0,132,120,0
3,2,0,200,100,0
3,2,0,190,160,1
7,6,0,375,500,2
3,1,1,200,170,1
5,2,0,205,160,1
2,1,2,140,98,1
3,3,1,60,120,0
3,3,1,104,325,2
4,3,1,195,180,1
4,2,0,196,150,1
3,1,1,207,150,1
3,1,0,90,117,1
3,2,1,148,90,1
3,1,0,114,90,1
5,2,1,120,150,1
6,4,2,162,225,2
2,1,1,60,36,0
4,2,0,153,162,1
2,2,1,66,80,0
2,1,1,100,72,0
5,2,0,110,160,1
4,3,2,153,140,1
2,1,1,145,120,0
2,2,1,122,70,0
3,3,0,60,120,0
3,2,0,63,70,0
6,6,2,200,150,1
2,2,1,156,130,1
4,2,1,119,120,1
2,1,1,101,140,1
2,2,0,216,200,1
3,1,0,179,100,0
3,2,1,90,120,1
3,3,1,179,70,0
3,3,3,219,300,2
2,3,2,80,100,1
4,2,0,105,87,0
3,3,2,102,120,0
3,2,0,72,100,0
3,3,1,120,60,0
2,1,1,117,117,0
