JKT,JKM,GRS,LT,LB,Category
3,2,1,102,130,Sedang
3,2,2,202,360,Mahal
3,2,1,150,90,Sedang
2,2,1,153,125,Sedang
3,2,1,70,116,Sedang
5,3,2,404,300,Mahal
6,4,0,170,350,Sedang
3,2,1,137,170,Sedang
2,1,1,78,45,Murah
3,2,1,126,98,Sedang
3,2,0,102,94,Sedang
3,1,0,75,100,Murah
5,3,1,142,160,Mahal
1,1,0,35,70,Sedang
2,2,0,137,160,Sedang
3,2,1,346,220,Sedang
6,5,0,228,400,Mahal
8,3,0,193,180,Sedang
3,2,1,49,72,Sedang
6,6,0,84,84,Murah
4,3,3,625,457,Mahal
3,2,0,110,126,Sedang
6,3,0,161,200,Sedang
3,2,0,140,160,Sedang
6,3,0,161,200,Sedang
5,4,1,170,350,Sedang
3,2,1,348,200,Mahal
2,3,0,270,450,Mahal
2,3,1,158,150,Sedang
4,3,4,394,400,Mahal
4,1,1,350,258,Mahal
3,2,1,160,140,Murah
4,3,3,202,300,Mahal
3,2,0,275,300,Sedang
3,2,0,110,200,Sedang
3,2,0,205,205,Sedang
4,3,0,140,100,Murah
3,2,1,180,110,Sedang
6,3,0,180,160,Sedang
4,3,0,180,200,Sedang
3,2,2,137,170,Sedang
3,2,1,70,116,Sedang
2,1,0,40,39,Murah
2,1,0,100,40,Murah
4,2,1,219,200,Mahal
4,3,1,400,420,Mahal
5,3,0,184,234,Mahal
4,2,0,404,250,Mahal
2,1,0,140,140,Murah
3,1,0,274,18,Mahal
3,2,1,98,87,Sedang
4,2,1,120,80,Murah
7,2,0,138,138,Murah
3,3,1,183,300,Sedang
3,3,2,210,150,Sedang
5,3,0,184,234,Mahal
4,3,0,156,120,Sedang
2,1,0,96,96,Murah
1,1,0,75,55,Murah
4,3,0,150,200,Mahal
5,2,1,189,140,Sedang
4,2,0,268,165,Sedang
3,2,2,300,200,Mahal
4,2,1,89,145,Sedang
4,2,0,72,100,Sedang
7,4,2,364,500,Mahal
3,2,2,103,96,Murah
5,4,0,392,260,Mahal
3,1,0,120,120,Mahal
3,2,1,72,120,Murah
3,2,4,370,240,Murah
5,4,0,400,260,Mahal
2,3,1,184,300,Mahal
3,2,5,346,220,Mahal
2,2,1,72,65,Murah
3,1,2,122,70,Murah
3,2,1,120,110,Sedang
4,2,0,110,150,Sedang
4,3,0,90,180,Sedang
2,1,0,74,70,Murah
2,2,1,139,105,Sedang
2,2,1,137,160,Sedang
3,3,3,136,200,Sedang
2,2,1,202,400,Mahal
5,3,1,404,300,Mahal
4,3,2,168,130,Sedang
4,3,0,111,200,Sedang
1,2,0,72,65,Murah
4,2,0,61,90,Sedang
4,3,1,41,68,Murah
4,2,0,348,200,Sedang
4,3,0,280,330,Mahal
4,3,4,202,300,Mahal
3,2,0,250,200,Mahal
3,2,0,125,115,Murah
4,3,0,202,300,Mahal
4,2,2,170,210,Sedang
4,2,0,404,300,Mahal
4,1,0,84,120,Murah
2,2,1,39,52,Murah
4,2,2,104,125,Sedang
2,2,0,177,162,Sedang
4,3,2,84,120,Murah
4,4,1,306,400,Mahal
4,2,1,145,150,Sedang
2,2,0,135,200,Sedang
3,2,1,147,132,Sedang
3,3,2,122,150,Sedang
4,3,1,75,140,Sedang
4,3,1,251,160,Sedang
3,2,0,65,225,Murah
3,1,2,140,120,Sedang
5,4,2,239,400,Mahal
2,1,0,76,60,Murah
4,3,2,134,200,Sedang
5,2,3,311,264,Mahal
3,1,1,177,120,Sedang
6,3,2,328,400,Mahal
2,1,0,50,71,Murah
3,2,1,235,175,Sedang
2,1,1,118,100,Sedang
2,2,0,101,160,Murah
4,3,1,96,192,Sedang
2,2,0,101,160,Murah
2,1,0,87,60,Murah
3,2,1,234,137,Sedang
3,3,0,122,150,Sedang
4,3,1,200,350,Mahal
3,1,0,90,110,Sedang
4,3,0,91,200,Sedang
2,1,0,97,153,Sedang
3,2,0,129,100,Sedang
5,3,2,106,240,Sedang
3,2,0,97,140,Sedang
5,3,0,106,240,Sedang
4,3,2,157,145,Sedang
2,1,1,60,36,Murah
3,2,1,75,140,Sedang
4,2,1,97,140,Sedang
2,1,0,181,68,Sedang
1,1,0,70,70,Murah
3,2,1,180,150,Sedang
3,2,1,221,250,Sedang
3,1,0,91,80,Sedang
3,2,0,75,140,Sedang
3,3,1,127,250,Mahal
4,2,0,82,100,Murah
2,2,1,94,120,Sedang
4,3,1,84,200,Murah
3,2,1,75,140,Sedang
4,4,0,131,200,Sedang
4,3,1,121,200,Sedang
3,2,1,421,165,Mahal
4,3,2,121,245,Mahal
3,3,0,127,260,Mahal
3,2,0,106,150,Sedang
2,2,1,94,120,Murah
3,2,0,138,120,Sedang
4,2,1,150,124,Sedang
2,3,2,214,250,Mahal
3,3,5,254,324,Sedang
2,1,0,107,99,Murah
2,1,0,107,99,Murah
4,4,0,91,167,Sedang
5,2,0,311,265,Mahal
3,1,0,313,400,Sedang
3,2,1,130,110,Sedang
4,2,0,128,100,Murah
2,1,0,55,70,Murah
6,5,2,120,250,Mahal
2,1,0,110,90,Sedang
4,3,0,212,238,Sedang
3,1,1,122,110,Murah
4,3,4,217,200,Mahal
3,2,0,311,264,Mahal
5,5,1,114,200,Sedang
2,2,1,101,160,Murah
3,2,0,210,200,Sedang
4,3,1,306,400,Mahal
1,1,0,44,88,Murah
6,2,0,310,250,Mahal
3,2,0,55,105,Murah
3,1,0,75,150,Sedang
4,4,2,297,297,Mahal
2,1,0,107,99,Murah
2,2,1,101,160,Sedang
3,3,1,160,280,Sedang
5,2,2,311,265,Mahal
5,4,2,297,500,Mahal
4,4,1,122,220,Sedang
2,2,1,178,300,Mahal
5,1,0,103,80,Murah
4,2,0,112,112,Murah
3,2,0,144,160,Sedang
4,3,0,212,235,Sedang
5,2,2,328,339,Mahal
3,2,2,129,110,Sedang
3,2,1,75,200,Sedang
3,3,2,85,120,Murah
3,1,0,157,109,Murah
4,4,1,306,450,Mahal
3,3,0,200,150,Sedang
4,2,0,112,100,Murah
4,2,0,66,120,Murah
4,4,2,180,300,Mahal
2,1,1,120,80,Murah
2,1,0,79,80,Murah
2,2,0,97,80,Murah
5,3,1,106,240,Sedang
4,2,1,59,200,Sedang
3,2,1,100,140,Sedang
3,2,1,108,175,Sedang
3,2,0,83,140,Sedang
2,1,1,72,45,Murah
6,3,0,42,120,Murah
4,4,2,255,500,Sedang
3,3,2,133,180,Sedang
7,4,0,105,200,Murah
5,5,0,240,300,Mahal
2,2,1,109,205,Mahal
3,2,1,169,270,Sedang
4,3,2,298,300,Mahal
4,5,2,96,266,Sedang
4,1,0,50,85,Murah
3,2,0,130,110,Sedang
3,2,2,233,120,Sedang
4,3,0,84,200,Sedang
3,2,0,65,195,Murah
5,5,0,122,220,Sedang
3,3,1,127,250,Sedang
3,1,0,75,75,Murah
4,4,0,170,400,Mahal
3,1,0,118,160,Sedang
3,2,1,75,140,Sedang
3,1,0,65,65,Sedang
5,3,1,106,204,Sedang
5,2,1,538,520,Mahal
3,2,0,100,90,Murah
3,2,0,160,280,Sedang
3,2,2,249,300,Sedang
6,5,1,142,284,Sedang
3,1,0,150,130,Sedang
5,2,2,102,240,Sedang
3,2,1,142,120,Sedang
6,5,0,154,90,Murah
3,1,1,144,120,Sedang
3,1,0,65,65,Sedang
3,2,1,75,150,Sedang
3,2,0,150,200,Mahal
2,2,1,63,120,Sedang
3,1,0,90,80,Murah
4,4,1,86,125,Sedang
5,4,1,200,350,Mahal
2,2,0,70,140,Murah
5,2,0,242,325,Mahal
2,2,0,96,120,Sedang
6,3,1,449,150,Mahal
4,4,0,108,330,Sedang
3,2,0,110,220,Sedang
4,4,1,86,130,Sedang
2,2,0,105,130,Murah
3,3,1,250,225,Mahal
3,3,1,221,250,Sedang
4,3,1,320,320,Sedang
4,3,0,84,200,Sedang
4,2,1,210,160,Sedang
4,4,1,162,122,Murah
5,2,0,78,156,Murah
3,3,2,85,120,Sedang
3,2,1,54,200,Sedang
1,1,0,130,100,Sedang
3,2,0,130,240,Sedang
3,3,4,127,250,Mahal
4,3,1,85,200,Murah
3,2,1,97,140,Sedang
3,3,0,133,180,Sedang
1,1,0,26,52,Murah
3,2,1,54,180,Sedang
4,3,1,298,300,Mahal
4,3,0,134,200,Sedang
2,1,0,118,100,Sedang
3,2,0,75,140,Sedang
3,2,0,98,90,Murah
3,1,0,98,90,Murah
2,2,0,94,120,Murah
4,2,2,120,150,Sedang
2,1,0,121,110,Sedang
4,3,1,75,140,Sedang
4,3,0,75,140,Sedang
7,2,2,197,430,Mahal
3,2,1,75,140,Sedang
3,3,1,109,250,Mahal
3,1,0,157,109,Murah
3,2,1,221,250,Sedang
2,1,0,35,63,Murah
4,3,0,200,350,Mahal
2,1,0,60,50,Murah
4,3,0,330,150,Mahal
3,2,1,144,70,Sedang
4,3,0,75,150,Sedang
3,2,1,106,180,Sedang
2,1,1,60,36,Murah
6,3,0,127,173,Sedang
3,3,1,65,100,Murah
4,2,0,120,150,Sedang
4,3,0,84,200,Murah
4,3,1,75,140,Sedang
4,3,1,298,300,Mahal
3,2,0,46,56,Murah
3,2,1,75,140,Sedang
4,3,1,121,150,Sedang
2,1,1,102,51,Sedang
3,3,2,122,160,Sedang
4,3,1,121,78,Sedang
7,7,4,399,300,Mahal
4,3,2,109,202,Sedang
3,2,0,91,90,Sedang
5,2,2,399,300,Mahal
4,4,1,330,200,Sedang
2,1,1,130,80,Sedang
4,2,1,136,100,Sedang
4,2,2,120,200,Sedang
6,4,1,200,300,Mahal
2,2,2,150,120,Sedang
2,1,1,104,95,Murah
4,3,3,256,237,Mahal
3,2,1,168,200,Sedang
3,2,0,100,170,Sedang
3,3,1,90,88,Sedang
3,2,2,115,98,Sedang
5,3,3,174,240,Sedang
4,3,1,215,140,Mahal
3,2,1,116,110,Sedang
3,3,1,195,300,Mahal
3,2,1,96,155,Sedang
4,3,1,260,160,Sedang
3,2,2,86,84,Sedang
2,1,1,72,50,Murah
2,2,1,150,120,Sedang
4,4,2,135,225,Sedang
3,2,1,104,90,Murah
5,4,1,135,200,Sedang
2,2,1,112,100,Sedang
3,2,1,112,100,Sedang
5,4,2,308,150,Sedang
4,3,1,230,200,Sedang
3,2,1,70,100,Murah
3,3,2,90,100,Sedang
3,2,1,150,120,Sedang
2,1,1,72,55,Murah
5,4,1,133,200,Sedang
5,2,1,90,150,Sedang
4,4,3,305,281,Mahal
3,2,2,86,83,Sedang
5,3,2,280,320,Sedang
3,2,1,93,90,Sedang
3,2,2,86,83,Sedang
5,3,3,173,240,Sedang
6,3,7,400,450,Mahal
4,3,2,476,250,Sedang
3,1,1,60,65,Murah
3,2,1,104,90,Murah
3,1,1,72,55,Murah
3,2,1,140,150,Sedang
4,3,2,126,144,Sedang
3,2,1,144,275,Sedang
4,3,0,151,120,Sedang
5,2,1,120,150,Murah
5,3,1,237,160,Sedang
4,3,1,230,197,Sedang
3,2,1,112,100,Sedang
2,1,1,60,55,Murah
4,3,1,360,192,Mahal
3,3,1,96,144,Sedang
4,3,2,140,100,Murah
4,2,1,72,180,Sedang
4,3,2,476,250,Sedang
3,2,1,145,100,Sedang
3,2,2,90,100,Murah
3,3,2,80,100,Sedang
3,3,1,90,88,Sedang
3,2,1,128,100,Sedang
5,3,2,111,152,Sedang
5,2,2,187,100,Sedang
2,1,1,96,45,Sedang
4,2,0,260,195,Mahal
2,2,1,97,68,Murah
4,3,1,121,78,Sedang
3,2,0,86,84,Sedang
5,2,1,140,148,Sedang
3,2,0,135,200,Sedang
2,1,1,95,45,Murah
3,2,1,144,120,Sedang
4,2,2,118,150,Sedang
4,4,1,160,230,Sedang
3,3,1,96,144,Sedang
3,1,1,198,60,Sedang
4,4,2,120,130,Sedang
3,2,3,256,212,Mahal
4,4,0,157,152,Mahal
3,2,1,112,112,Sedang
2,1,0,72,43,Murah
3,3,2,90,88,Sedang
2,1,1,60,40,Murah
3,3,0,96,144,Sedang
5,5,2,308,100,Sedang
3,1,1,168,120,Sedang
5,5,1,394,394,Mahal
2,2,2,180,120,Sedang
4,3,1,121,120,Sedang
4,3,2,156,240,Sedang
4,3,3,550,400,Mahal
6,3,4,400,450,Sedang
1,1,0,170,130,Sedang
2,1,0,72,121,Murah
3,3,1,90,100,Sedang
2,1,1,66,40,Murah
5,4,1,239,250,Mahal
3,2,1,86,83,Sedang
3,3,5,305,281,Mahal
3,1,1,96,45,Murah
3,3,1,126,160,Sedang
4,2,1,115,220,Sedang
2,2,1,81,51,Murah
4,3,2,476,250,Sedang
3,3,2,139,98,Sedang
3,1,0,80,75,Murah
4,3,1,102,100,Murah
3,3,0,139,98,Sedang
3,4,0,126,180,Sedang
3,3,1,233,200,Sedang
4,2,1,96,75,Murah
3,1,1,162,111,Sedang
4,2,0,151,198,Sedang
2,1,0,136,50,Sedang
3,2,1,96,114,Sedang
3,3,0,122,160,Sedang
3,1,1,120,80,Murah
2,2,0,120,270,Murah
7,6,0,239,314,Mahal
2,1,1,102,65,Murah
3,2,2,171,239,Sedang
3,3,1,70,105,Sedang
3,3,2,216,120,Mahal
5,3,2,180,360,Mahal
4,3,1,160,160,Sedang
4,2,1,151,198,Sedang
3,2,1,60,90,Murah
4,3,1,135,225,Sedang
3,2,1,112,100,Sedang
2,1,2,90,50,Murah
3,2,1,100,100,Sedang
4,2,1,70,100,Murah
3,2,1,105,110,Sedang
4,3,1,135,225,Sedang
5,3,1,239,250,Mahal
3,2,1,104,90,Murah
2,2,2,68,50,Murah
4,4,1,160,245,Sedang
6,4,1,310,265,Mahal
4,2,0,186,200,Mahal
4,2,1,216,200,Sedang
4,3,1,140,100,Sedang
3,1,1,120,90,Murah
4,2,0,216,200,Sedang
4,4,1,140,120,Sedang
3,1,1,198,60,Sedang
4,3,2,230,197,Sedang
4,4,2,270,310,Sedang
5,4,4,397,300,Sedang
5,4,0,121,128,Sedang
6,4,1,140,220,Sedang
5,3,3,113,320,Sedang
3,3,0,96,144,Sedang
3,2,0,78,90,Sedang
4,4,2,95,125,Sedang
3,2,1,120,144,Sedang
2,1,0,101,50,Sedang
3,2,1,90,100,Murah
2,2,2,120,110,Sedang
4,3,1,195,300,Mahal
4,3,2,68,120,Sedang
5,4,0,144,200,Sedang
3,2,0,104,134,Sedang
3,2,0,52,52,Murah
3,3,0,90,110,Sedang
3,2,0,60,41,Murah
3,2,0,60,50,Murah
2,2,0,54,41,Murah
8,2,0,135,135,Murah
2,3,0,60,150,Sedang
4,2,2,225,225,Sedang
2,2,1,112,75,Murah
3,2,1,145,100,Sedang
2,2,1,118,159,Sedang
8,6,0,280,450,Mahal
4,5,3,225,350,Sedang
5,6,1,260,400,Mahal
4,2,2,120,200,Sedang
3,1,1,106,94,Murah
3,2,0,107,70,Murah
3,2,1,176,150,Sedang
4,3,1,160,150,Sedang
4,3,1,150,250,Sedang
5,3,0,105,175,Sedang
3,2,0,176,140,Sedang
3,2,1,107,90,Murah
3,2,0,128,200,Sedang
4,4,0,114,200,Sedang
4,4,1,300,205,Sedang
3,3,1,410,200,Sedang
3,3,2,96,135,Sedang
3,2,1,327,120,Sedang
3,2,2,100,135,Sedang
5,5,3,424,500,Mahal
2,2,1,176,120,Sedang
4,3,2,120,110,Sedang
3,2,1,99,70,Murah
3,3,0,117,110,Murah
4,3,2,120,150,Murah
3,3,2,300,108,Sedang
4,4,2,114,200,Sedang
4,3,0,144,180,Sedang
4,5,3,311,420,Mahal
3,2,2,128,200,Sedang
3,2,1,120,170,Sedang
3,2,1,60,100,Murah
3,3,2,146,115,Sedang
2,1,1,92,92,Murah
3,3,1,96,135,Sedang
3,2,1,93,70,Murah
3,2,1,98,65,Murah
4,4,2,220,180,Sedang
4,5,2,359,300,Mahal
3,3,1,120,118,Sedang
4,2,1,200,150,Sedang
2,2,1,60,70,Murah
2,2,1,60,60,Murah
2,1,1,93,92,Murah
3,2,2,355,240,Sedang
3,2,1,100,155,Sedang
3,3,1,200,200,Sedang
3,2,2,327,120,Sedang
3,3,2,122,160,Sedang
5,4,2,120,130,Sedang
3,3,0,100,133,Sedang
2,1,1,180,120,Sedang
4,3,2,180,124,Sedang
3,2,1,115,120,Sedang
2,1,1,100,50,Murah
3,2,1,176,140,Sedang
2,2,2,143,90,Sedang
4,3,1,118,150,Murah
3,2,1,96,65,Murah
3,2,2,327,120,Sedang
3,2,2,110,100,Sedang
6,4,2,240,200,Sedang
3,2,1,152,125,Sedang
6,3,2,146,150,Sedang
3,2,1,117,120,Murah
2,2,2,100,90,Murah
3,2,1,327,150,Sedang
4,2,1,120,200,Sedang
7,4,1,144,250,Sedang
4,4,1,122,185,Sedang
2,1,0,64,40,Murah
4,3,1,136,160,Sedang
3,2,1,120,120,Sedang
5,4,1,130,170,Sedang
3,3,2,95,135,Sedang
3,3,0,185,175,Sedang
3,2,1,103,75,Murah
3,2,1,96,135,Sedang
3,3,1,186,245,Sedang
4,2,1,82,85,Murah
3,2,2,150,120,Sedang
3,2,1,111,110,Sedang
3,2,1,176,154,Sedang
3,2,1,353,160,Sedang
3,1,1,94,60,Murah
3,1,1,230,120,Sedang
1,1,1,126,90,Sedang
4,2,0,353,160,Sedang
5,5,3,424,280,Mahal
4,2,2,82,85,Murah
2,1,2,90,50,Murah
3,2,1,147,220,Sedang
3,2,1,118,150,Murah
2,1,1,176,140,Sedang
3,2,2,103,75,Murah
3,2,1,136,120,Sedang
2,2,1,105,70,Murah
5,4,1,176,250,Sedang
3,2,0,294,100,Sedang
6,4,1,300,200,Mahal
2,2,1,84,70,Sedang
3,3,3,280,300,Mahal
2,1,1,88,60,Murah
3,2,1,101,70,Murah
4,2,0,160,140,Murah
5,3,1,180,180,Sedang
3,2,3,300,200,Sedang
3,3,2,85,120,Sedang
2,1,1,90,50,Murah
3,2,1,137,105,Sedang
3,2,1,176,150,Sedang
3,1,1,104,115,Murah
3,2,2,480,200,Mahal
3,3,1,100,105,Sedang
2,2,1,100,70,Murah
3,3,0,70,115,Sedang
5,3,1,150,150,Sedang
2,2,1,94,60,Murah
2,1,0,163,55,Murah
3,2,1,137,105,Sedang
4,2,1,100,120,Murah
3,2,0,130,110,Sedang
3,2,0,150,95,Sedang
2,1,1,107,50,Murah
6,3,0,150,150,Sedang
4,3,2,140,115,Sedang
3,3,1,120,150,Sedang
2,2,1,128,120,Murah
3,2,2,150,95,Sedang
4,3,1,100,120,Murah
2,2,0,90,54,Murah
4,3,2,283,115,Sedang
2,1,1,90,38,Murah
4,2,1,170,72,Sedang
2,1,1,98,45,Murah
2,1,1,98,54,Murah
4,2,1,66,100,Murah
3,2,1,116,80,Murah
3,2,1,180,120,Sedang
2,1,1,90,36,Murah
2,1,2,119,63,Sedang
3,3,2,132,164,Sedang
3,2,1,155,150,Sedang
4,3,0,120,110,Sedang
5,2,0,110,90,Murah
3,2,0,230,250,Sedang
4,2,2,306,250,Sedang
2,1,1,207,54,Sedang
2,2,1,98,50,Murah
2,1,1,75,45,Murah
3,2,2,64,60,Murah
3,1,2,64,60,Murah
2,2,1,131,120,Murah
6,4,0,477,371,Mahal
5,4,1,133,170,Sedang
5,3,1,112,175,Sedang
3,2,1,139,104,Sedang
5,3,0,300,225,Sedang
4,2,1,122,130,Sedang
5,4,0,176,150,Sedang
2,1,0,72,40,Murah
2,1,0,69,50,Murah
4,2,2,353,160,Sedang
3,2,1,90,70,Sedang
3,2,1,220,150,Sedang
2,2,1,220,150,Sedang
4,2,1,102,150,Sedang
3,3,2,200,150,Sedang
3,3,2,70,115,Sedang
4,3,2,200,160,Sedang
4,3,2,114,400,Sedang
3,3,0,200,200,Sedang
3,2,1,220,180,Sedang
2,1,1,89,80,Murah
2,1,0,84,48,Murah
4,3,1,133,170,Sedang
3,2,3,147,220,Sedang
7,2,1,625,320,Sedang
1,2,2,68,50,Murah
4,2,1,144,120,Murah
4,3,1,163,200,Sedang
2,1,2,90,80,Murah
5,3,1,160,175,Sedang
2,3,1,98,136,Sedang
3,2,8,327,170,Sedang
2,1,1,98,60,Murah
5,2,2,187,180,Sedang
3,2,1,111,110,Sedang
3,3,1,100,98,Sedang
2,1,1,115,40,Murah
3,3,2,300,200,Mahal
4,3,2,120,110,Sedang
5,3,0,178,220,Sedang
3,2,0,90,70,Sedang
2,1,1,84,80,Murah
2,1,1,100,50,Murah
4,2,2,370,160,Sedang
4,5,1,424,500,Mahal
6,3,1,124,200,Sedang
3,2,0,149,100,Sedang
2,1,1,71,50,Murah
2,2,1,105,60,Murah
2,1,1,84,48,Murah
5,4,1,300,350,Mahal
4,2,1,78,100,Sedang
2,1,1,72,45,Murah
3,2,1,84,60,Murah
5,3,2,385,430,Mahal
2,2,2,87,54,Murah
2,1,1,132,82,Murah
2,1,1,92,80,Sedang
2,2,1,68,50,Murah
2,1,1,60,60,Murah
2,2,2,120,100,Murah
2,2,1,60,50,Murah
3,1,1,94,85,Murah
3,2,2,125,80,Murah
3,1,1,145,171,Sedang
3,2,1,97,110,Murah
4,3,2,122,200,Sedang
4,3,1,122,200,Sedang
2,1,1,75,60,Murah
3,2,1,99,150,Sedang
3,3,1,99,130,Sedang
4,4,1,114,140,Sedang
3,2,1,294,100,Sedang
2,1,0,95,60,Sedang
4,2,0,149,100,Sedang
3,2,0,97,110,Murah
4,3,1,176,150,Sedang
7,3,3,216,320,Sedang
2,1,1,125,65,Sedang
2,2,1,96,75,Murah
4,4,1,129,145,Sedang
5,4,0,290,350,Sedang
4,3,1,85,138,Sedang
3,2,1,85,120,Sedang
2,2,1,125,100,Sedang
4,3,1,122,150,Sedang
3,2,1,205,148,Sedang
3,3,3,170,125,Sedang
5,3,0,124,200,Sedang
4,3,0,100,120,Murah
3,2,1,225,100,Sedang
4,3,0,283,115,Sedang
2,2,2,100,100,Murah
3,3,0,300,200,Mahal
4,2,1,184,209,Sedang
3,2,0,137,105,Sedang
4,3,1,312,300,Mahal
3,2,0,91,90,Murah
3,2,0,116,70,Murah
3,2,0,150,130,Murah
2,2,1,97,68,Murah
2,1,1,72,90,Murah
3,2,2,180,120,Sedang
3,2,0,95,70,Murah
3,2,1,240,160,Sedang
3,2,1,480,200,Mahal
3,3,0,122,160,Sedang
5,5,0,424,500,Mahal
4,3,0,300,200,Sedang
5,4,0,133,170,Sedang
5,4,2,356,150,Sedang
5,3,3,256,160,Sedang
3,2,2,122,80,Sedang
3,3,1,118,118,Sedang
2,2,1,108,70,Murah
3,2,1,95,70,Murah
3,2,2,120,118,Sedang
5,2,2,212,140,Sedang
4,3,1,100,120,Murah
4,2,1,144,120,Murah
5,4,1,133,170,Sedang
3,2,1,96,135,Sedang
2,1,1,112,45,Murah
2,2,1,143,80,Sedang
3,3,1,96,135,Sedang
4,3,1,356,200,Sedang
4,3,1,371,280,Mahal
3,1,1,115,104,Murah
2,1,1,72,45,Murah
2,1,1,70,45,Murah
3,3,2,198,180,Sedang
3,2,2,113,75,Murah
4,3,1,224,180,Sedang
2,1,1,72,50,Murah
2,2,1,70,55,Murah
2,1,1,72,36,Murah
4,2,1,176,150,Sedang
3,3,1,208,145,Sedang
3,1,1,108,70,Murah
5,5,3,424,400,Mahal
3,2,2,300,200,Sedang
3,1,0,60,50,Murah
6,4,6,560,300,Mahal
3,2,2,148,140,Sedang
2,1,1,84,56,Murah
4,3,6,513,350,Mahal
3,2,1,200,150,Sedang
3,3,1,180,220,Mahal
4,2,1,244,320,Mahal
4,3,1,180,250,Mahal
5,5,0,195,360,Mahal
6,2,1,278,235,Mahal
4,4,1,187,185,Sedang
4,3,1,196,180,Sedang
3,2,2,200,170,Sedang
3,2,0,214,200,Sedang
4,4,1,180,250,Mahal
5,3,2,135,155,Sedang
4,3,1,180,300,Mahal
3,2,1,107,90,Murah
4,4,1,300,400,Mahal
4,4,0,180,250,Mahal
3,3,0,220,260,Mahal
4,5,1,334,250,Mahal
4,3,1,122,120,Sedang
3,2,1,112,70,Sedang
5,3,1,319,375,Sedang
5,3,1,162,200,Sedang
5,6,0,300,198,Sedang
3,2,2,72,50,Murah
3,3,3,268,254,Sedang
3,2,0,116,90,Sedang
3,4,1,216,202,Mahal
4,2,1,204,135,Sedang
6,4,1,128,270,Sedang
4,3,2,300,240,Mahal
7,4,0,90,225,Murah
3,2,1,91,95,Murah
